title,description,url,img,tags,trips
Memory Cards,"You can never have enough of these—trust me, they’re your safety net for all your footage.",https://amzn.to/4brCaVH,https://ik.imagekit.io/qn1gkawvy/gear/sandisk-128gb-extreme-pro-sdxc-uhs-i-memory-card.jpg?updatedAt=1719848051712,filming,tanzania
Editing Hard Drive,This is where all the magic happens—lots of space and fast enough to keep up with my editing sessions.,https://amzn.to/3TU3vKM,https://ik.imagekit.io/qn1gkawvy/gear/samsung-t7-shield-4tb.jpg?updatedAt=1719848050878,filming,
Long Term Backup HDD,My go-to for storing old footage safely. It’s a must for protecting your work!,https://amzn.to/3L8e1sw,https://ik.imagekit.io/qn1gkawvy/gear/lacie-rugged-5tb.jpg?updatedAt=1719848678040,filming,
Luxury Tent,"When I want a cozy camping experience, this tent makes the wilderness feel a little more like home.",https://alnk.to/2FBn9w5,https://ik.imagekit.io/qn1gkawvy/gear/rei-half-dome-2-plus.jpg?updatedAt=1719848050078,hiking,"ausangate, lares"
Ultralight Tent,Lightweight but still super comfy—it’s perfect for when you’re covering a lot of ground.,https://www.kaviso.com/products/durston-gear-x-mid-2-ultralight-backpacking-tent,https://ik.imagekit.io/qn1gkawvy/gear/durston-gear-x-mid-2-ultralight-backpacking-tent.jpg?updatedAt=1719848045641,hiking,coyote-gulch
Backpack,"The ultimate organizer for all my gear. Everything has its place, and it’s easy to grab what I need.",https://amzn.to/3T97hQl,https://ik.imagekit.io/qn1gkawvy/gear/osprey-aether-65.jpg?updatedAt=1719848049695,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, huchuy-qosqo, grand-canyon, coyote-gulch"
Water Bottle,"Staying hydrated is key, especially when I’m out filming all day.",https://amzn.to/3ILbSDh,https://ik.imagekit.io/qn1gkawvy/gear/nalgene.jpg?updatedAt=1719848049357,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon, coyote-gulch"
Daypack,A smaller pack that’s perfect for carrying just the essentials on shorter adventures.,https://amzn.to/487osWu,https://ik.imagekit.io/qn1gkawvy/gear/sea-to-summit-ultra-sil-ultralight-day-pack-20-liter.jpg?updatedAt=1719848051918,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo"
Stove,Nothing beats a hot meal after a long day of filming. This little stove is a lifesaver.,https://amzn.to/3uXfbly,https://ik.imagekit.io/qn1gkawvy/gear/msr-pocketrocket-deluxe-stove.jpg?updatedAt=1719848048736,hiking,"ausangate, lares, coyote-gulch"
Pot,Compact and perfect for whipping up meals in the wild—just what you need for a good dinner on the trail.,https://amzn.to/47GiVGK,https://ik.imagekit.io/qn1gkawvy/gear/toaks-titanium-750ml-pot.jpg?updatedAt=1719848053406,hiking,"hiking, coyote-gulch"
Spoon,Lightweight and durable—sometimes it’s the little things that make a trip easier.,https://amzn.to/3TeNAGF,https://ik.imagekit.io/qn1gkawvy/gear/toaks-titanium-long-handle-spoon.jpg?updatedAt=1719848052971,hiking,"ausangate, lares, coyote-gulch"
Headlamp,This is a must for low-light filming or setting up camp in the dark.,https://amzn.to/3GgIEZG,https://ik.imagekit.io/qn1gkawvy/gear/black-diamond-spot-350-led-headlamp.jpg?updatedAt=1719848043939,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, grand-canyon, coyote-gulch"
Water Filter,Access to clean water anywhere—it’s a lifesaver on those remote shoots.,https://amzn.to/46NCg7L,https://ik.imagekit.io/qn1gkawvy/gear/sawyer-products-sp129-squeeze.jpg?updatedAt=1719848051653,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon, coyote-gulch"
First Aid Kit,Better safe than sorry—this gives me peace of mind during every trip.,https://amzn.to/3uJUGsx,https://ik.imagekit.io/qn1gkawvy/gear/adventure-ultralight-watertight-medical-kit.jpg?updatedAt=1719848044072,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon, coyote-gulch"
Dry Bag,Keeps my gear dry even when the weather turns ugly.,https://amzn.to/3GtqHYJ,https://ik.imagekit.io/qn1gkawvy/gear/sea-to-summit-lightweight-dry-sack.jpg?updatedAt=1719848051391,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, huchuy-qosqo, coyote-gulch"
Rain Jacket,Essential for staying dry while shooting in the rain—it’s a game-changer.,https://cortazu.com/pages/nicholas-eager-youtube,https://cortazu.com/cdn/shop/files/PACKSHOT_FRONT_AW-HARDSHELL_MENS_YELLOW_CORTAZU.png?v=1718976791&width=1200,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, huchuy-qosqo, grand-canyon, coyote-gulch"
Sleeping Mattress,Nothing beats waking up rested after a night out—this mattress makes a huge difference.,https://amzn.to/3vEw55T,https://ik.imagekit.io/qn1gkawvy/gear/sea-to-summit-ultralight-insulated-backpacking-sleeping-pad.jpg?updatedAt=1719848051535,hiking,"ausangate, lares, coyote-gulch"
Sleeping Bag,Keeps me warm and comfy no matter the conditions.,https://alnk.to/aANRaCl,https://ik.imagekit.io/qn1gkawvy/gear/sea-to-summit-spark-30f-down-sleeping-bag.jpg?updatedAt=1719849418793,hiking,"ausangate, lares, coyote-gulch"
Hiking Pants,Durable and comfy—these pants are perfect for long days on the trail.,https://amzn.to/3t8A24Z,https://ik.imagekit.io/qn1gkawvy/gear/atg-by-wrangler-men's-synthetic-utility-pant.jpg?updatedAt=1719848043196,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon, coyote-gulch"
Down Jacket,So warm and packs down small. It’s my go-to for cold weather shoots.,https://alnk.to/1XWJ6El,https://ik.imagekit.io/qn1gkawvy/gear/patagonia-down-sweater-mens.jpg?updatedAt=1719849540381,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, grand-canyon, coyote-gulch"
Thermal Top,Keeps me cozy in the chill without adding bulk—great for layering.,https://amzn.to/3TlAbfY,https://ik.imagekit.io/qn1gkawvy/gear/smartwool-men's-classic-thermal-merino-wool-base-layer.jpg?updatedAt=1719848051810,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, huchuy-qosqo, grand-canyon, coyote-gulch"
Beanie,My favorite way to keep warm—and it looks pretty good too.,https://amzn.to/46OS6iu,https://ik.imagekit.io/qn1gkawvy/gear/carhartt-men's-knit-beanie.jpg?updatedAt=1719848045338,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares"
Shoes,Good shoes are non-negotiable for long filming days—they keep me going.,https://amzn.to/3ReDmDC,https://ik.imagekit.io/qn1gkawvy/gear/altra-men's-olympus-5-trail-running-shoe.jpg?updatedAt=1719848044535,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, huchuy-qosqo, coyote-gulch"
Hiking Boots,"Solid, supportive boots for rugged trails. They’ve never let me down.",https://amzn.to/489b3NZ,https://ik.imagekit.io/qn1gkawvy/gear/garmont-unisex-adult-mountain-boots.jpg?updatedAt=1719848047114,hiking,"ausangate, lares, tanzania, grand-canyon"
Sport Sandals,Great for stream crossings or just giving my feet a break back at camp.,https://amzn.to/4cM2dYv,https://ik.imagekit.io/qn1gkawvy/gear/xero-shoes-z-trek-ii.jpg?updatedAt=1719848052745,hiking,coyote-gulch
Sun Shirt,So much easier than reapplying sunscreen all day—it’s a lifesaver in sunny spots.,https://amzn.to/3NBpOkR,"https://ik.imagekit.io/qn1gkawvy/gear/33,000ft-men's-long-sleeve-sun-protection-shirt.jpg?updatedAt=1719848043944",hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon"
Hat,A must-have for sun protection—it keeps me cool and focused.,https://alnk.to/8tOLNyN,https://ik.imagekit.io/qn1gkawvy/gear/forclaz-trek-900-waterproof-backpacking-hat.jpg?updatedAt=1719850914963,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon, coyote-gulch"
Socks,Good socks are underrated—they keep my feet happy all day.,https://amzn.to/3Hok5dy,https://ik.imagekit.io/qn1gkawvy/gear/darn-tough-merino-wool-boot-sock-full-cushion.jpg?updatedAt=1719848049783,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon, coyote-gulch"
Flip Flops,"After a long hike, slipping into these feels amazing.",https://amzn.to/3tmyk07,https://ik.imagekit.io/qn1gkawvy/gear/havaianas-men's.jpg?updatedAt=1719848048549,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares"
Light Gloves,These keep my hands warm without making it hard to use my gear.,https://amzn.to/419gl9P,https://ik.imagekit.io/qn1gkawvy/gear/under-armour-men's-storm-liner.jpg?updatedAt=1719848052504,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares"
Sunglasses,Protecting your eyes is key—these are a must for filming in bright conditions.,https://amzn.to/4cH5wQX,https://ik.imagekit.io/qn1gkawvy/gear/goodr-og-sunglasses.jpg?updatedAt=1719848048016,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania, huchuy-qosqo, grand-canyon, coyote-gulch"
GPS Watch,Super handy for navigation and keeping track of my filming spots.,https://amzn.to/4aWjzl6,https://ik.imagekit.io/qn1gkawvy/gear/garmin-fenix-7-pro-solar.jpg?updatedAt=1719848047470,hiking,"three-passes, kanchenjunga, manaslu, ausangate, lares"
Powerbank,Nothing worse than running out of battery mid-shoot. This keeps me powered up.,https://amzn.to/3MJPWr0,https://ik.imagekit.io/qn1gkawvy/gear/anker-powercore-20100mah.jpg?updatedAt=1719848043247,travel,"three-passes, kanchenjunga, manaslu, ausangate, lares, tanzania"
Travel Backpack,Stylish and practical—perfect for carrying everything I need on longer trips.,https://amzn.to/3GoZOV4,https://ik.imagekit.io/qn1gkawvy/gear/wandrd-prvke-31l.jpg?updatedAt=1719850129335,travel,
Collapsible Travel Pack,So handy when I need a lightweight bag for quick trips.,https://amzn.to/3VRiIJW,https://ik.imagekit.io/qn1gkawvy/gear/venture-pal-40l.jpg?updatedAt=1719848052727,travel,
Bank Card Protector,Keeps my essentials safe and easy to access.,https://amzn.to/3jV3NkV,https://ik.imagekit.io/qn1gkawvy/gear/buffway-slim-minimalist-front-pocket-rfid-blocking-leather-wallet.jpg?updatedAt=1719848043536,travel,
Cash Wallet,Compact and perfect for staying organized while traveling.,https://amzn.to/3IpSIm4,https://ik.imagekit.io/qn1gkawvy/gear/chums-surfshorts-wallet.jpg?updatedAt=1719848044952,travel,
Toiletry Bag,Keeps everything tidy and ready to go—makes packing so much easier.,https://amzn.to/3XbBAVf,https://ik.imagekit.io/qn1gkawvy/gear/gox-small-travel-toiletry-bag.jpg?updatedAt=1719848049810,travel,
Music Library,This has everything I need to find the perfect vibe for my videos.,https://share.epidemicsound.com/nj6mw9,https://ik.imagekit.io/qn1gkawvy/gear/epidemicsound-logo.png?updatedAt=1735350700674,filming,
AllTrails,My secret weapon for scouting out the best spots to film—it’s a game-changer.,https://www.alltrails.com/invite/MIZ5XU,https://ik.imagekit.io/qn1gkawvy/gear/alltrails.jpg?updatedAt=1719848043869,hiking,
Final Cut Pro,The software I swear by—it’s how I bring all my footage together into a finished story.,https://apps.apple.com/us/app/final-cut-pro/id424389933,https://ik.imagekit.io/qn1gkawvy/gear/final-cut-pro.jpg?updatedAt=1719848045465,filming,
